course,课前期待,专业理解-课前,专业理解-课后,职业认知-课前,职业认知程度-课后,主观收获程度,兴奋与惊喜,沉浸感,内容满意度,知识密度合适度,知识理解度,知识有效运用程度,试错机会价值,成果满意度,PPT满意度,视频满意度,教材满意度,教学设施与环境满意度,导师满意度,学习自由度,同学交流学习,反思
xx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
法学,3,2,5,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
法学,2,0,4,5,6,4,4,4,3,3,3,3,4,4,4,4,4,4,5,4,4,4
法学,3,3,7,3,9,3,4,4,4,4,5,4,3,4,4,4,4,4,5,5,5,4
法学,3,0,8,2,3,4,4,3,4,3,3,3,3,3,4,4,4,4,4,3,3,3
法学,3,3,10,6,9,4,4,4,4,4,4,4,4,4,4,3,5,4,5,5,5,4
法学,3,0,6,0,0,1,1,1,3,4,5,2,1,1,3,3,1,3,4,2,1,1
法学,4,9,6,2,3,5,4,5,5,5,4,4,5,4,3,4,5,5,5,5,4,4
法学,2,3,7,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
法学,2,1,5,5,5,5,5,5,5,5,3,3,3,4,5,3,5,5,5,5,4,5
法学,3,0,10,3,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
法学,3,3,7,1,1,3,3,4,4,3,3,2,5,4,4,4,3,4,4,4,5,4
法学,3,3,6,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
法学,1,6,10,4,10,4,4,4,5,5,5,5,4,5,4,4,4,4,4,4,4,4
法学,3,2,6,5,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
法学,3,7,10,7,10,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3
法学,3,3,4,4,5,5,5,5,4,4,3,3,4,4,4,4,5,5,5,5,5,5
法学,4,6,10,7,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
法学,3,1,5,1,10,3,3,3,4,3,3,2,4,2,3,2,4,3,3,4,3,4
法学,3,3,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
法学,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
法学,2,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
法学,3,2,6,3,7,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,5,3
法学,3,4,6,5,6,4,3,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4
法学,3,3,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
法学,3,4,5,10,5,5,5,4,5,4,4,3,4,5,4,5,5,5,5,4,4,5
法学,2,4,6,6,8,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,5,4
法学,3,1,3,4,5,3,3,2,2,3,3,2,3,3,4,4,3,4,3,4,3,3
法学,2,4,6,5,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
法学,3,4,8,6,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
法学,2,6,7,8,9,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4
法学,3,2,4,2,6,4,3,3,4,3,4,4,4,4,4,3,4,4,4,4,3,4
