course,课前期待,专业理解-课前,专业理解-课后,主观收获,职业认知-课前,职业认知-课后,兴奋与惊喜,沉浸感,内容满意度,知识密度合适度,知识理解度,知识有效运用程度,试错机会价值,成果满意度,PPT满意度,视频满意度,教材满意度,教学设施与环境满意度,导师满意度,学习自由度,同学交流学习,反思
xx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
法学,3,1.77699843,4.703370913,2.97620706,0.718299492,2.828569453,2.759543261,1.902599395,2.808253026,2.731779876,2.904192616,2.738453972,2.728425346,2.876426838,2.893841444,2.916538577,2.841627256,2.909199388,2.859302353,2.818107401,2.822110092,2.802878133
法学,2,-0.197125403,3.918514052,3.835613488,4.776238015,5.912219706,3.785647997,3.783135103,2.914581577,2.885469401,2.784856916,2.929026789,3.739531718,3.741942127,3.730546394,3.951841288,3.962269071,3.75425596,4.717973999,3.8462508,3.822042843,3.77413021
法学,3,2.971751474,6.837709504,2.949641087,2.963131665,8.810457692,3.94041503,3.87969643,3.847474137,3.702889631,4.964239828,3.917300084,2.844099669,3.876464725,3.719734416,3.705783905,3.892159557,3.790874414,4.880371793,4.741844595,4.788701689,3.740219263
法学,3,-0.279849618,7.959539513,3.777872181,1.700288095,2.875349145,3.911421472,2.710887531,3.754957581,2.751129657,2.966828807,2.701929455,2.991423293,2.911959872,3.813624134,3.942202915,3.957889084,3.940654552,3.950302243,2.827941833,2.796641335,2.987599392
法学,3,2.826453785,9.761747706,3.787120379,5.809165394,8.957189303,3.808926594,3.828790003,3.821064535,3.761124322,3.923498777,3.929286201,3.971473328,3.934994504,3.704465236,2.905770974,4.851872802,3.881778037,4.914436191,4.996882608,4.784304588,3.848503062
法学,3,-0.052460898,5.915931366,0.801800242,-0.075490163,-0.003469017,0.87262455,0.914622599,2.891906131,3.904762827,4.887521795,1.949210283,0.783856269,0.758903553,2.986406229,2.790833003,0.7044405,2.907664938,3.784722888,1.724153672,0.773856198,0.739019727
法学,4,8.776282991,5.953951071,4.896617017,1.735347634,2.979004119,3.95259415,4.752975014,4.929766246,4.85166453,3.982453879,3.923515461,4.745397601,3.70043502,2.79950124,3.788578498,4.972855709,4.734095252,4.968271961,4.874289145,3.972112786,3.803561178
法学,2,2.713306278,6.944778981,4.80361635,4.968337767,6.863259424,4.921834388,4.951587362,4.970538996,4.774611948,4.715642788,4.863837612,4.780538158,4.755506132,4.948126036,4.706514766,4.833174697,4.8261724,4.975806816,4.825258525,4.901513305,4.935546469
法学,2,0.984580621,4.867569132,4.72248274,4.838953619,4.721117139,4.999918046,4.843163487,4.82913941,4.932144004,2.857610683,2.750129542,2.929486837,3.990897604,4.909428442,2.873736384,4.881476272,4.761229937,4.982061367,4.719631517,3.741231348,4.906392849
法学,3,-0.186321664,9.888570778,3.874977696,2.794855332,7.787865196,3.952599144,3.949449464,3.914044269,3.976553533,3.736119146,3.935206284,3.867638801,3.953160682,3.784573264,3.91416019,3.882402757,3.798981788,3.735082609,3.862560484,3.966532304,3.827223855
法学,3,2.728337012,6.854483803,2.928997777,0.716661649,0.802177789,2.932128533,3.944973919,3.910726978,2.973337883,2.912471095,1.949353888,4.970329395,3.742076657,3.933833787,3.810521706,2.770263944,3.980814695,3.951112279,3.875783717,4.980847467,3.967967153
法学,3,2.732831826,5.965958635,3.824861855,3.761249078,6.897119856,3.923146208,3.752907256,3.756749766,3.959786428,3.9759312,3.802985102,3.746461798,3.800416643,3.912402382,3.777572813,3.722610625,3.791554272,3.952768664,3.938388346,3.963336962,3.930785301
法学,1,5.917675953,9.961996961,3.876516647,3.873239929,9.970609581,3.728708118,3.760072752,4.925480856,4.95466652,4.866179009,4.86928651,3.735063727,4.892071236,3.833568269,3.762991963,3.94860233,3.761180474,3.997999425,3.71419832,3.764333553,3.716944959
法学,3,1.843430535,5.821222042,3.784825729,4.813932711,7.729792195,3.83833853,3.898048923,3.703449709,3.741353048,3.881835398,3.719897339,3.954174395,3.998811167,3.999836708,3.884747086,3.950287793,3.840847465,3.994898799,3.945433189,3.779821954,3.904778884
