country,region,employees,income,birth,urban,young labor,old labour,family,friend,leisure,politics,work,religion,happiness,health,satisfication,freedom
Argentina,south_america,0.71,7669,0.20,0.89,0.74,0.17, 0.87 , 0.49 , 0.26 , 0.10 , 0.70 , 0.35 , 0.29 , 0.20 , 0.26 , 0.30 
Australia,oceania,0.85,19232,0.14,0.86,0.80,0.06, 0.90 , 0.63 , 0.44 , 0.15 , 0.51 , 0.23 , 0.43 , 0.36 , 0.32 , 0.35 
Chile,south_america,0.71,4447,0.19,0.85,0.70,0.06, 0.89 , 0.28 , 0.42 , 0.07 , 0.64 , 0.43 , 0.27 , 0.16 , 0.24 , 0.30 
Egypt,africa,0.61,1291,0.27,0.43,0.60,0.17,, 0.56 , 0.35 , 0.03 , 0.49 , 0.13 , 0.24 , 0.30 , 0.31 , 0.29 
HongKong,asia,0.89,24517,0.09,1.00,0.79,0.07,, 0.38 , 0.34 , 0.07 , 0.50 , 0.22 , 0.14 , 0.12 , 0.13 , 0.21 
Italy,europe,0.71,17871,0.09,0.67,0.72,0.04,, 0.48 , 0.40 , 0.18 , 0.54 , 0.07 , 0.17 , 0.14 , 0.12 , 0.05 
Japan,asia,0.82,36604,0.10,0.78,0.82,0.24, 0.90 , 0.45 , 0.23 , 0.19 , 0.57 , 0.20 , 0.12 , 0.15 , 0.18 , 0.31 
Mexico,north_america,0.59,5145,0.26,0.74,0.69,0.31, 0.74 , 0.29 , 0.35 , 0.17 , 0.63 , 0.46 , 0.32 , 0.18 , 0.34 , 0.41 
New Zealand,oceania,0.79,12381,0.15,0.85,0.82,0.06, 0.93 , 0.55 , 0.45 , 0.07 , 0.45 , 0.20 , 0.33 , 0.36 , 0.38 , 0.40 
Norway,europe,0.91,33673,0.14,0.74,0.87,0.11, 0.88 , 0.59 , 0.39 , 0.06 , 0.59 , 0.12 , 0.30 , 0.40 , 0.33 , 0.22 
Poland,europe,0.71,4249,0.11,0.62,0.84,0.11, 0.90 , 0.26 , 0.23 , 0.07 , 0.63 , 0.47 , 0.17 , 0.12 , 0.22 , 0.16 
Romania,europe,0.61,1704,0.10,0.54,0.85,0.33, 0.80 , 0.21 , 0.27 , 0.07 , 0.59 , 0.38 , 0.05 , 0.15 , 0.08 , 0.22 
Spain,europe,0.75,12429,0.10,0.76,0.75,0.02, 0.82 , 0.41 , 0.30 , 0.08 , 0.59 , 0.25 , 0.19 , 0.18 , 0.23 , 0.22 
Sweden,europe,0.89,24069,0.11,0.84,0.89,0.08, 0.90 , 0.70 , 0.51 , 0.11 , 0.65 , 0.10 , 0.39 , 0.45 , 0.36 , 0.22 
Switzerland,europe,0.83,33261,0.12,0.74,0.87,0.10, 0.81 , 0.58 , 0.45 , 0.06 , 0.47 , 0.15 , 0.40 , 0.38 , 0.46 , 0.29 
Turkey,asia,0.43,3895,0.23,0.63,0.63,0.21, 0.97 , 0.71 , 0.40 , 0.24 , 0.76 , 0.83 , 0.51 , 0.18 , 0.22 , 0.18 
Vietnam,asia,0.19,331,0.18,0.23,0.91,0.20,, 0.69 , 0.42 , 0.18 , 0.55 , 0.56 , 0.46 , 0.40 , 0.37 , 0.37 
low,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
high,none,1,40000,1,1,1,1,1,1,1,1,1,1,1,1,1,1
